station_id,fecha_hora_dia,temp_c,temp_max_c,temp_min_c,hum_pct,hum_max_pct,hum_min_pct,lluvia_mm,tasa_lluvia_mm_h,radiacion_w_m2,radiacion_max_w_m2,viento_avg_kmh,viento_max_kmh,dir_viento,punto_rocio_c,barometro_inhg,et_mm,ts,fecha_hora,n_lecturas
185450,2026-06-05,,,,,,,0.0,0.0,176.68,814.0,3.0,22.5,3.72,,,2.4,1780703100,2026-06-05 23:45:00,95
185450,2026-06-06,,,,,,,0.0,0.0,217.43,1158.0,4.58,27.4,3.61,,,3.71,1780789500,2026-06-06 23:45:00,96
185450,2026-06-07,,,,,,,0.0,0.0,208.58,1136.0,4.51,25.7,5.01,,,3.51,1780875900,2026-06-07 23:45:00,96
185450,2026-06-08,,,,,,,0.0,0.0,221.12,974.0,5.19,30.6,4.1,,,3.62,1780962300,2026-06-08 23:45:00,96
185450,2026-06-09,,,,,,,0.0,0.0,279.38,1058.0,6.65,29.0,3.68,,,4.77,1781048700,2026-06-09 23:45:00,96
185450,2026-06-10,,,,,,,0.0,0.0,255.41,1088.0,5.12,22.5,3.59,,,4.42,1781135100,2026-06-10 23:45:00,96
185450,2026-06-11,,,,,,,0.0,0.0,184.72,923.0,5.37,35.4,5.22,,,3.26,1781221500,2026-06-11 23:45:00,96
185450,2026-06-12,,,,,,,0.0,0.0,219.53,1204.0,4.42,24.1,5.25,,,3.49,1781307900,2026-06-12 23:45:00,96
185450,2026-06-13,,,,,,,0.0,0.0,307.43,1063.0,6.89,33.8,3.77,,,5.3,1781394300,2026-06-13 23:45:00,96
185450,2026-06-14,,,,,,,0.0,0.0,247.07,821.0,5.59,29.0,3.32,,,4.49,1781480700,2026-06-14 23:45:00,96
185450,2026-06-15,,,,,,,0.0,0.0,241.42,1081.0,4.16,20.9,4.49,,,3.76,1781567100,2026-06-15 23:45:00,96
185450,2026-06-16,,,,,,,0.0,0.0,268.82,1155.0,2.2,16.1,7.06,,,4.16,1781653500,2026-06-16 23:45:00,96
185450,2026-06-17,,,,,,,0.0,0.0,212.05,1202.0,3.64,19.3,5.04,,,3.43,1781739900,2026-06-17 23:45:00,96
185450,2026-06-18,,,,,,,0.0,0.0,185.3,1139.0,4.07,25.7,4.28,,,2.99,1781826300,2026-06-18 23:45:00,96
185450,2026-06-19,,,,,,,0.0,0.0,249.58,1081.0,3.3,41.8,4.62,,,3.98,1781912700,2026-06-19 23:45:00,96
185450,2026-06-20,,,,,,,12.2,1.57,254.95,1063.0,2.79,45.1,3.88,,,4.15,1781999100,2026-06-20 23:45:00,96
185450,2026-06-21,,,,,,,4.4,0.99,230.31,1164.0,4.49,49.9,3.95,,,4.5,1782085500,2026-06-21 23:45:00,95
185450,2026-06-22,,,,,,,0.0,0.0,232.82,1129.0,5.71,24.1,3.72,,,4.57,1782171900,2026-06-22 23:45:00,96
185450,2026-06-23,,,,,,,0.0,0.0,231.23,1190.0,8.6,29.0,2.74,,,5.07,1782258300,2026-06-23 23:45:00,96
185450,2026-06-24,,,,,,,14.0,2.64,160.69,1058.0,5.73,38.6,3.79,,,3.44,1782344700,2026-06-24 23:45:00,96
185450,2026-06-25,,,,,,,0.2,0.01,141.03,993.0,3.37,25.7,3.95,,,2.79,1782431100,2026-06-25 23:45:00,96
185450,2026-06-26,,,,,,,0.0,0.0,243.1,991.0,5.52,24.1,3.69,,,4.89,1782517500,2026-06-26 23:45:00,96
185450,2026-06-27,,,,,,,0.0,0.0,239.72,1085.0,5.51,22.5,3.25,,,4.89,1782603900,2026-06-27 23:45:00,96
185450,2026-06-28,,,,,,,21.0,2.01,219.7,969.0,3.7,20.9,5.56,,,4.24,1782690300,2026-06-28 23:45:00,96
185450,2026-06-29,,,,,,,8.2,2.45,228.82,1067.0,4.04,37.0,3.98,,,4.55,1782776700,2026-06-29 23:45:00,96
185450,2026-06-30,,,,,,,15.8,2.99,222.29,1032.0,5.52,29.0,4.68,,,4.34,1782863100,2026-06-30 23:45:00,96
185450,2026-07-01,,,,,,,6.4,1.12,230.43,1083.0,3.97,22.5,3.74,,,4.57,1782949500,2026-07-01 23:45:00,96
185450,2026-07-02,,,,,,,0.0,0.0,202.35,1223.0,5.27,22.5,3.81,,,4.31,1783035900,2026-07-02 23:45:00,96
